id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,0,1.00002,M.USER.APP.0,100,20,0
2,LINK,2,0,1,1.00002,M.USER.APP.1,100,20,1
3,LINK,3,2,2,1.00002,M.USER.APP.2,100,20,2
3,LINK,2,0,2,1.00002,M.USER.APP.2,101.00002,20,0
5,LINK,1,0,0,1.00002,M.USER.APP.0,200,20,0
6,LINK,2,0,1,1.00002,M.USER.APP.1,200,20,1
7,LINK,3,2,2,1.00002,M.USER.APP.2,200,20,2
7,LINK,2,0,2,1.00002,M.USER.APP.2,201.00002,20,0
9,LINK,1,0,0,1.00002,M.USER.APP.0,300,20,0
10,LINK,2,0,1,1.00002,M.USER.APP.1,300,20,1
11,LINK,3,2,2,1.00002,M.USER.APP.2,300,20,2
11,LINK,2,0,2,1.00002,M.USER.APP.2,301.00002,20,0
13,LINK,1,0,0,1.00002,M.USER.APP.0,400,20,0
14,LINK,2,0,1,1.00002,M.USER.APP.1,400,20,1
15,LINK,3,2,2,1.00002,M.USER.APP.2,400,20,2
15,LINK,2,0,2,1.00002,M.USER.APP.2,401.00002,20,0
17,LINK,1,0,0,1.00002,M.USER.APP.0,500,20,0
18,LINK,2,0,1,1.00002,M.USER.APP.1,500,20,1
19,LINK,3,2,2,1.00002,M.USER.APP.2,500,20,2
19,LINK,2,0,2,1.00002,M.USER.APP.2,501.00002,20,0
21,LINK,1,0,0,1.00002,M.USER.APP.0,600,20,0
22,LINK,2,0,1,1.00002,M.USER.APP.1,600,20,1
23,LINK,3,2,2,1.00002,M.USER.APP.2,600,20,2
23,LINK,2,0,2,1.00002,M.USER.APP.2,601.00002,20,0
25,LINK,1,0,0,1.00002,M.USER.APP.0,700,20,0
26,LINK,2,0,1,1.00002,M.USER.APP.1,700,20,1
27,LINK,3,2,2,1.00002,M.USER.APP.2,700,20,2
27,LINK,2,0,2,1.00002,M.USER.APP.2,701.00002,20,0
29,LINK,1,0,0,1.00002,M.USER.APP.0,800,20,0
30,LINK,2,0,1,1.00002,M.USER.APP.1,800,20,1
31,LINK,3,2,2,1.00002,M.USER.APP.2,800,20,2
31,LINK,2,0,2,1.00002,M.USER.APP.2,801.00002,20,0
33,LINK,1,0,0,1.00002,M.USER.APP.0,900,20,0
34,LINK,2,0,1,1.00002,M.USER.APP.1,900,20,1
35,LINK,3,2,2,1.00002,M.USER.APP.2,900,20,2
35,LINK,2,0,2,1.00002,M.USER.APP.2,901.00002,20,0
37,LINK,1,0,0,1.00002,M.USER.APP.0,1000,20,0
38,LINK,2,0,1,1.00002,M.USER.APP.1,1000,20,1
39,LINK,3,2,2,1.00002,M.USER.APP.2,1000,20,2
39,LINK,2,0,2,1.00002,M.USER.APP.2,1001.00002,20,0
41,LINK,1,0,0,1.00002,M.USER.APP.0,1100,20,0
42,LINK,2,0,1,1.00002,M.USER.APP.1,1100,20,1
43,LINK,3,2,2,1.00002,M.USER.APP.2,1100,20,2
43,LINK,2,0,2,1.00002,M.USER.APP.2,1101.00002,20,0
45,LINK,1,0,0,1.00002,M.USER.APP.0,1200,20,0
46,LINK,2,0,1,1.00002,M.USER.APP.1,1200,20,1
47,LINK,3,2,2,1.00002,M.USER.APP.2,1200,20,2
47,LINK,2,0,2,1.00002,M.USER.APP.2,1201.00002,20,0
49,LINK,1,0,0,1.00002,M.USER.APP.0,1300,20,0
50,LINK,2,0,1,1.00002,M.USER.APP.1,1300,20,1
51,LINK,3,2,2,1.00002,M.USER.APP.2,1300,20,2
51,LINK,2,0,2,1.00002,M.USER.APP.2,1301.00002,20,0
53,LINK,1,0,0,1.00002,M.USER.APP.0,1400,20,0
54,LINK,2,0,1,1.00002,M.USER.APP.1,1400,20,1
55,LINK,3,2,2,1.00002,M.USER.APP.2,1400,20,2
55,LINK,2,0,2,1.00002,M.USER.APP.2,1401.00002,20,0
57,LINK,1,0,0,1.00002,M.USER.APP.0,1500,20,0
58,LINK,2,0,1,1.00002,M.USER.APP.1,1500,20,1
59,LINK,3,2,2,1.00002,M.USER.APP.2,1500,20,2
59,LINK,2,0,2,1.00002,M.USER.APP.2,1501.00002,20,0
61,LINK,1,0,0,1.00002,M.USER.APP.0,1600,20,0
62,LINK,2,0,1,1.00002,M.USER.APP.1,1600,20,1
63,LINK,3,2,2,1.00002,M.USER.APP.2,1600,20,2
63,LINK,2,0,2,1.00002,M.USER.APP.2,1601.00002,20,0
65,LINK,1,0,0,1.00002,M.USER.APP.0,1700,20,0
66,LINK,2,0,1,1.00002,M.USER.APP.1,1700,20,1
67,LINK,3,2,2,1.00002,M.USER.APP.2,1700,20,2
67,LINK,2,0,2,1.00002,M.USER.APP.2,1701.00002,20,0
69,LINK,1,0,0,1.00002,M.USER.APP.0,1800,20,0
70,LINK,2,0,1,1.00002,M.USER.APP.1,1800,20,1
71,LINK,3,2,2,1.00002,M.USER.APP.2,1800,20,2
71,LINK,2,0,2,1.00002,M.USER.APP.2,1801.00002,20,0
73,LINK,1,0,0,1.00002,M.USER.APP.0,1900,20,0
74,LINK,2,0,1,1.00002,M.USER.APP.1,1900,20,1
75,LINK,3,2,2,1.00002,M.USER.APP.2,1900,20,2
75,LINK,2,0,2,1.00002,M.USER.APP.2,1901.00002,20,0
77,LINK,1,0,0,1.00002,M.USER.APP.0,2000,20,0
78,LINK,2,0,1,1.00002,M.USER.APP.1,2000,20,1
79,LINK,3,2,2,1.00002,M.USER.APP.2,2000,20,2
79,LINK,2,0,2,1.00002,M.USER.APP.2,2001.00002,20,0
81,LINK,1,0,0,1.00002,M.USER.APP.0,2100,20,0
82,LINK,2,0,1,1.00002,M.USER.APP.1,2100,20,1
83,LINK,3,2,2,1.00002,M.USER.APP.2,2100,20,2
83,LINK,2,0,2,1.00002,M.USER.APP.2,2101.00002,20,0
85,LINK,1,0,0,1.00002,M.USER.APP.0,2200,20,0
86,LINK,2,0,1,1.00002,M.USER.APP.1,2200,20,1
87,LINK,3,2,2,1.00002,M.USER.APP.2,2200,20,2
87,LINK,2,0,2,1.00002,M.USER.APP.2,2201.00002,20,0
89,LINK,1,0,0,1.00002,M.USER.APP.0,2300,20,0
90,LINK,2,0,1,1.00002,M.USER.APP.1,2300,20,1
91,LINK,3,2,2,1.00002,M.USER.APP.2,2300,20,2
91,LINK,2,0,2,1.00002,M.USER.APP.2,2301.00002,20,0
93,LINK,1,0,0,1.00002,M.USER.APP.0,2400,20,0
94,LINK,2,0,1,1.00002,M.USER.APP.1,2400,20,1
95,LINK,3,2,2,1.00002,M.USER.APP.2,2400,20,2
95,LINK,2,0,2,1.00002,M.USER.APP.2,2401.00002,20,0
97,LINK,1,0,0,1.00002,M.USER.APP.0,2500,20,0
98,LINK,2,0,1,1.00002,M.USER.APP.1,2500,20,1
